5.000000000000000000e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.551724137931034253e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.103448275862068506e-01 1.000000000000000000e+00 0.000000000000000000e+00
9.655172413793103869e-01 9.999967999999999080e-01 6.400000000006399891e-06
1.120689655172413701e+00 9.999632000000000520e-01 2.268391500602189517e-05
1.275862068965517349e+00 9.998592000000000590e-01 3.906097797034780654e-05
1.431034482758620774e+00 9.995904000000001011e-01 6.526744977396036894e-05
1.586206896551724199e+00 9.989424000000001191e-01 5.832872362739457896e-05
1.741379310344827624e+00 9.978272000000000252e-01 1.287577570478875004e-04
1.896551724137931050e+00 9.960639999999999494e-01 1.620666529548831587e-04
2.051724137931034697e+00 9.935615999999999337e-01 2.856078430295483556e-04
2.206896551724137900e+00 9.898479999999999501e-01 4.162614562988048027e-04
2.362068965517241548e+00 9.849983999999999407e-01 6.626086627867092734e-04
2.517241379310344751e+00 9.785999999999999144e-01 9.210567843515199979e-04
2.672413793103448398e+00 9.703520000000001033e-01 8.162195782998726964e-04
2.827586206896551602e+00 9.601152000000000575e-01 9.056565353377823676e-04
2.982758620689655249e+00 9.472560000000000979e-01 1.007320405829232766e-03
3.137931034482758896e+00 9.317232000000000847e-01 1.286663654573310007e-03
3.293103448275862100e+00 9.127696000000000698e-01 1.842411636958494591e-03
3.448275862068965747e+00 8.891360000000000374e-01 2.121107635175546388e-03
3.603448275862068950e+00 -4.990655999999999426e-01 6.812961510232095064e-01
3.758620689655172598e+00 4.153888000000000025e-01 6.466800906755673095e-01
3.913793103448275801e+00 -1.247456000000000120e-01 5.271402546152589297e-01
4.068965517241379004e+00 2.149455999999999867e-01 4.729699717189665975e-01
4.224137931034483096e+00 6.845919999999998395e-02 2.996077475783294752e-01
4.379310344827586299e+00 2.559839999999998644e-02 1.783567161769917808e-01
4.534482758620689502e+00 2.402720000000000550e-02 1.088241949685822274e-01
4.689655172413793593e+00 2.529440000000000160e-02 6.320496282286700018e-02
4.844827586206896797e+00 1.599519999999999761e-02 4.302927928933971552e-02
5.000000000000000000e+00 1.425440000000000040e-02 3.499280873322403729e-02
